"extracted_date","price_co","open_co","high_co","low_co","vol_co","change_percent_co","price_ng","open_ng","high_ng","low_ng","vol_ng","change_percent_ng","price_ho","open_ho","high_ho","low_ho","vol_ho","change_percent_ho"
2020-05-04 00:00:00.000,"20.390","19.110","21.420","18.050","311.49K","3.08%","1.993","1.961","2.006","1.935","187.91K","5.45%","0.803","0.794","1","0.777","53.04K","0.88%"
2020-04-16 00:00:00.000,"19.870","20.150","20.530","19.420","350.94K","0.00%","1.686","1.591","1.719","1.555","235.59K","5.51%","0.946","0.927","1","0.903","50.81K","3.56%"
2020-04-15 00:00:00.000,"19.870","20.720","20.890","19.200","544.80K",-1.19%,"1.598","1.639","1.666","1.586","152.70K",-3.15%,"0.914","0.946","1","0.898","46.59K",-3.22%
2020-05-11 00:00:00.000,"24.140","24.490","25.580","23.670","179.59K",-2.43%,"1.826","1.838","1.89","1.803","224.97K","0.16%","0.869","0.902","1","0.866","59.01K",-3.40%
2020-04-03 00:00:00.000,"28.340","24.810","29.130","23.520","1.01M","11.93%","1.621","1.551","1.659","1.53","155.16K","4.45%","1.071","0.997","1","0.988","54.39K","7.59%"
2020-05-13 00:00:00.000,"25.290","25.300","26.450","24.790","150.86K",-1.90%,"1.616","1.695","1.741","1.595","254.68K",-6.05%,"0.831","0.822","1","0.807","50.81K",-0.83%
2020-05-14 00:00:00.000,"27.560","25.560","27.960","25.180","160.51K","8.98%","1.681","1.643","1.715","1.61","206.53K","4.02%","0.895","0.838","1","0.824","43.54K","7.63%"
2020-10-30 00:00:00.000,"35.790","36.070","36.600","35.210","388.97K",-1.05%,"3.354","3.313","3.396","3.256","146.43K","1.61%","1.081","1.093","1","1.069","2.94K",-0.65%
2020-10-29 00:00:00.000,"36.170","37.390","37.760","34.920","568.82K",-3.26%,"3.301","3.283","3.346","3.151","168.76K","10.18%","1.088","1.112","1","1.054","13.60K",-2.32%
2020-09-10 00:00:00.000,"37.300","37.800","38.180","36.930","367.56K",-1.97%,"2.323","2.382","2.407","2.305","139.97K",-3.45%,"1.082","1.101","1","1.073","57.08K",-2.14%
2020-10-02 00:00:00.000,"37.050","38.600","38.650","36.630","391.43K",-4.31%,"2.438","2.485","2.551","2.373","163.73K",-3.52%,"1.085","1.118","1","1.069","63.92K",-3.56%
2020-06-19 00:00:00.000,"39.750","38.850","40.490","38.400","64.11K","2.34%","1.669","1.637","1.684","1.63","123.84K","1.89%","1.211","1.201","1","1.180","23.35K","1.07%"
2020-06-11 00:00:00.000,"36.340","39.090","39.090","35.410","513.91K",-8.23%,"1.813","1.787","1.833","1.766","213.62K","1.85%","1.088","1.165","1","1.067","56.96K",-7.25%
2020-09-24 00:00:00.000,"40.310","39.600","40.370","39.120","269.99K","0.95%","2.248","2.195","2.32","2.169","60.48K","5.79%","1.117","1.102","1","1.095","19.62K","0.83%"
2020-11-10 00:00:00.000,"41.360","39.910","41.840","39.410","457.05K","2.66%","2.949","2.86","3.012","2.855","158.19K","3.15%","1.253","1.213","1","1.198","85.33K","2.94%"
2020-10-12 00:00:00.000,"39.430","40.400","40.450","39.040","322.04K",-2.88%,"2.881","2.891","2.955","2.825","179.70K","5.11%","1.157","1.190","1","1.148","54.97K",-3.03%
2020-10-23 00:00:00.000,"39.850","40.610","40.920","39.570","268.93K",-1.94%,"2.971","2.985","3.006","2.918","73.25K",-1.20%,"1.151","1.159","1","1.143","22.67K",-0.81%
2020-10-20 00:00:00.000,"41.460","40.650","41.700","40.250","24.52K","1.54%","2.913","2.831","2.95","2.824","119.81K","4.22%","1.174","1.154","1","1.145","38.95K","1.33%"
2020-07-07 00:00:00.000,"40.620","40.680","40.950","39.900","256.60K",-0.02%,"1.876","1.829","1.924","1.829","203.76K","2.51%","1.243","1.245","1","1.222","46.38K","0.13%"
2020-07-16 00:00:00.000,"40.750","40.970","41.180","40.520","200.10K",-1.09%,"1.723","1.783","1.808","1.703","136.97K",-3.09%,"1.228","1.245","1","1.223","34.81K",-1.36%
2020-07-24 00:00:00.000,"41.290","41.060","41.670","40.660","353.16K","0.54%","1.808","1.784","1.818","1.746","71.80K","1.29%","1.256","1.258","1","1.242","17.80K","0.18%"
2020-10-09 00:00:00.000,"40.600","41.310","41.470","40.380","331.70K",-1.43%,"2.741","2.632","2.821","2.618","207.34K","4.34%","1.193","1.190","1","1.182","77.73K","0.08%"
2020-08-07 00:00:00.000,"41.220","41.970","42.220","41.060","399.00K",-1.74%,"2.238","2.153","2.256","2.14","206.25K","3.37%","1.220","1.252","1","1.217","53.54K",-2.40%
2020-08-13 00:00:00.000,"42.240","42.570","42.840","42.090","329.51K",-1.01%,"2.182","2.151","2.205","2.139","173.31K","1.39%","1.238","1.256","1","1.236","42.18K",-1.52%
2020-08-21 00:00:00.000,"42.340","42.750","42.960","41.460","345.37K",-0.56%,"2.448","2.355","2.468","2.28","134.96K","4.08%","1.208","1.247","1","1.192","31.31K",-3.10%
2020-09-01 00:00:00.000,"42.760","42.830","43.430","42.720","285.15K","0.35%","2.527","2.628","2.675","2.504","228.38K",-3.92%,"1.231","1.225","1","1.221","60.11K","2.90%"
2018-12-19 00:00:00.000,"47.200","45.930","48.000","45.930","37.16K","2.08%","3.726","3.839","3.893","3.563","136.94K",-2.92%,"1.805","1.757","2","1.756","48.70K","2.94%"
2020-12-11 00:00:00.000,"46.570","46.970","47.290","46.340","367.31K",-0.45%,"2.591","2.568","2.63","2.526","177.71K","1.49%","1.437","1.438","1","1.424","53.79K","0.08%"
2018-12-11 00:00:00.000,"51.650","50.890","52.430","50.700","665.26K","1.27%","4.407","4.507","4.587","4.348","175.75K",-3.04%,"1.847","1.846","2","1.835","48.90K","0.16%"
2021-01-19 00:00:00.000,"52.980","52.000","53.130","51.760","125.96K","1.18%","2.546","2.652","2.673","2.523","211.31K",-3.45%,"1.599","1.584","2","1.578","35.54K","0.55%"
2018-12-03 00:00:00.000,"52.950","52.450","53.850","52.030","758.01K","3.97%","4.339","4.527","4.536","4.243","190.57K",-5.92%,"1.888","1.843","2","1.843","60.14K","2.28%"
2019-02-12 00:00:00.000,"53.100","52.470","54.050","52.290","708.31K","1.32%","2.688","2.647","2.698","2.618","169.23K","1.74%","1.907","1.896","2","1.892","70.51K","0.79%"
2019-06-17 00:00:00.000,"51.930","52.500","52.740","51.580","397.87K",-1.10%,"2.386","2.389","2.418","2.357","120.28K",-0.04%,"1.800","1.828","2","1.795","41.79K",-1.63%
2021-01-27 00:00:00.000,"52.850","52.760","53.300","51.850","442.38K","0.46%","2.76","2.65","2.773","2.65","5.52K","3.92%","1.609","1.601","2","1.583","17.13K","0.66%"
2018-12-14 00:00:00.000,"51.200","52.830","52.950","50.840","526.84K",-2.62%,"3.827","4.073","4.094","3.787","163.13K",-7.20%,"1.845","1.884","2","1.838","50.29K",-1.66%
2019-06-04 00:00:00.000,"53.480","52.890","53.780","52.430","831.63K","0.43%","2.416","2.413","2.441","2.381","132.77K","0.54%","1.822","1.807","2","1.782","61.08K","0.83%"
2018-12-06 00:00:00.000,"51.490","52.930","53.300","50.080","987.27K",-2.65%,"4.327","4.45","4.489","4.271","132.56K",-3.18%,"1.858","1.889","2","1.813","69.09K",-1.61%
2019-06-03 00:00:00.000,"53.250","53.420","54.630","52.110","984.31K",-0.47%,"2.403","2.444","2.475","2.382","204.39K",-2.08%,"1.807","1.839","2","1.797","87.41K",-1.92%
2019-01-22 00:00:00.000,"52.570","53.730","54.240","51.800","46.03K",-3.08%,"3.04","3.327","3.361","3.026","183.14K",-8.43%,"1.901","1.912","2","1.867","40.79K",-1.21%
2019-02-06 00:00:00.000,"54.010","53.730","54.300","52.860","606.72K","0.65%","2.662","2.685","2.72","2.651","98.33K","0.00%","1.912","1.896","2","1.875","56.60K","0.77%"
2019-10-11 00:00:00.000,"54.700","53.880","54.930","53.640","741.70K","2.15%","2.214","2.203","2.262","2.187","264.18K",-0.18%,"1.958","1.934","2","1.926","72.79K","1.92%"
2019-09-04 00:00:00.000,"56.260","53.920","56.580","53.840","682.30K","4.30%","2.445","2.346","2.457","2.339","218.51K","3.69%","1.880","1.803","2","1.801","73.33K","4.26%"
2019-02-07 00:00:00.000,"52.640","53.940","54.210","51.800","749.01K",-2.54%,"2.551","2.682","2.691","2.549","211.79K",-4.17%,"1.901","1.911","2","1.869","68.96K",-0.61%
2020-01-29 00:00:00.000,"53.330","53.970","54.370","52.810","624.98K",-0.28%,"1.877","1.927","1.938","1.858","10.05K",-2.95%,"1.704","1.720","2","1.692","13.50K",-0.72%
2019-06-19 00:00:00.000,"53.760","54.090","54.420","53.280","122.84K",-0.26%,"2.276","2.332","2.358","2.268","173.67K",-2.23%,"1.829","1.832","2","1.818","27.57K","0.09%"
2019-10-18 00:00:00.000,"53.780","54.090","54.620","53.350","174.48K",-0.28%,"2.32","2.319","2.36","2.289","150.02K","0.09%","1.947","1.953","2","1.933","53.68K",-0.05%
2019-08-06 00:00:00.000,"53.630","54.950","55.420","53.290","682.79K",-1.94%,"2.111","2.091","2.133","2.073","142.25K","1.98%","1.824","1.841","2","1.816","59.24K",-0.63%
2020-04-28 00:00:00.000,"12.340","12.960","13.690","10.070","897.09K",-3.44%,"1.794","1.831","1.923","1.702","3.60K",-1.37%,"0.631","0.613","1","0.580","12.80K","3.34%"
2020-04-02 00:00:00.000,"25.320","21.220","27.390","20.760","1.10M","24.67%","1.552","1.591","1.624","1.521","165.32K",-2.21%,"0.995","0.948","1","0.938","60.60K","6.74%"
2020-05-07 00:00:00.000,"23.550","24.090","26.740","22.940","310.26K",-1.83%,"1.894","1.956","1.989","1.886","228.87K",-2.57%,"0.837","0.830","1","0.810","57.22K","1.59%"
2020-05-12 00:00:00.000,"25.780","24.490","26.230","24.220","212.34K","6.79%","1.72","1.847","1.849","1.685","228.49K",-5.81%,"0.838","0.876","1","0.820","51.14K",-3.49%
2020-05-29 00:00:00.000,"35.490","33.680","35.770","32.360","443.65K","5.28%","1.849","1.819","1.865","1.763","221.37K","1.20%","0.965","0.931","1","0.903","4.53K","4.22%"
2020-06-04 00:00:00.000,"37.410","36.760","37.620","36.380","307.61K","0.32%","1.822","1.809","1.854","1.795","114.33K","0.05%","1.074","1.063","1","1.047","43.05K","0.89%"
2020-11-03 00:00:00.000,"37.660","37.030","38.320","36.570","410.61K","2.31%","3.059","3.236","3.241","3.041","184.78K",-5.70%,"1.127","1.116","1","1.100","70.10K","1.33%"
2020-06-29 00:00:00.000,"39.700","37.960","39.890","37.500","343.91K","3.14%","1.709","1.567","1.753","1.558","273.25K","14.31%","1.165","1.127","1","1.115","11.98K","2.56%"
2020-10-08 00:00:00.000,"41.190","39.990","41.330","39.760","409.79K","3.10%","2.627","2.59","2.651","2.508","198.49K","0.81%","1.192","1.164","1","1.158","56.84K","2.71%"
2020-09-28 00:00:00.000,"40.600","40.070","40.800","39.780","226.43K","0.87%","2.101","2.105","2.176","2.02","3.36K",-1.78%,"1.140","1.127","1","1.116","15.63K","1.18%"
2020-07-13 00:00:00.000,"40.100","40.350","40.720","39.470","370.72K",-1.11%,"1.739","1.785","1.815","1.725","158.85K",-3.66%,"1.224","1.240","1","1.214","45.92K",-1.43%
2020-08-03 00:00:00.000,"41.010","40.390","41.240","39.580","338.33K","1.84%","2.101","1.859","2.154","1.852","381.97K","16.79%","1.241","1.228","1","1.211","46.52K","1.96%"
2020-06-23 00:00:00.000,"40.370","40.680","41.630","39.760","368.73K",-0.22%,"1.637","1.66","1.663","1.614","85.19K",-1.62%,"1.203","1.219","1","1.198","18.58K",-1.28%
2020-11-17 00:00:00.000,"41.430","41.440","41.690","40.570","243.68K","0.22%","2.692","2.684","2.732","2.649","110.71K",-0.19%,"1.239","1.229","1","1.209","48.78K","0.83%"
2020-07-22 00:00:00.000,"41.900","41.540","42.030","41.140","333.65K",-0.14%,"1.681","1.669","1.698","1.622","118.42K","0.36%","1.271","1.273","1","1.255","18.89K",-0.73%
2020-07-28 00:00:00.000,"41.040","41.650","41.930","40.850","276.80K",-1.35%,"1.8","1.731","1.803","1.719","32.53K","3.81%","1.242","1.256","1","1.236","10.81K",-0.96%
2020-11-11 00:00:00.000,"41.450","41.790","43.060","41.320","443.77K","0.22%","3.031","2.948","3.057","2.911","139.90K","2.78%","1.246","1.260","1","1.241","75.15K",-0.53%
2020-08-06 00:00:00.000,"41.950","42.190","42.650","41.610","359.61K",-0.57%,"2.165","2.206","2.284","2.136","161.99K",-1.19%,"1.250","1.265","1","1.247","46.75K",-1.05%
2018-12-26 00:00:00.000,"46.220","42.850","47.000","42.520","698.41K","7.09%","3.543","3.456","3.586","3.315","42.12K","1.52%","1.734","1.671","2","1.649","29.31K","3.77%"
2020-11-30 00:00:00.000,"45.340","45.340","45.800","44.420","370.76K",-0.42%,"2.882","2.831","2.996","2.823","146.18K","1.37%","1.356","1.372","1","1.350","5.30K",-1.78%
2018-12-21 00:00:00.000,"45.590","46.250","46.770","45.130","694.00K",-0.63%,"3.816","3.681","3.829","3.595","99.26K","6.50%","1.733","1.765","2","1.712","44.23K",-0.97%
2019-01-07 00:00:00.000,"48.520","48.300","49.790","48.110","819.94K","1.17%","2.944","2.962","2.994","2.91","109.25K",-3.29%,"1.778","1.781","2","1.776","57.18K","0.52%"
2018-11-29 00:00:00.000,"51.450","50.310","52.200","49.410","812.72K","2.31%","4.646","4.671","4.674","4.452","191.44K",-1.46%,"1.844","1.844","2","1.818","16.07K","0.28%"
2020-02-03 00:00:00.000,"50.110","51.010","51.970","49.800","876.04K",-2.81%,"1.819","1.852","1.88","1.814","163.79K",-1.20%,"1.578","1.619","2","1.571","71.52K",-2.87%
2018-11-27 00:00:00.000,"51.560","51.540","52.380","50.300","764.01K",-0.14%,"4.262","4.224","4.325","4.104","62.83K","0.33%","1.886","1.891","2","1.860","30.10K",-0.37%
2018-12-12 00:00:00.000,"51.150","51.950","52.880","50.940","730.81K",-0.97%,"4.136","4.363","4.407","4.081","198.28K",-6.15%,"1.851","1.854","2","1.847","68.33K","0.21%"
2021-02-01 00:00:00.000,"53.550","51.990","53.740","51.640","416.07K","2.59%","2.85","2.73","2.868","2.712","243.66K","11.15%","1.647","1.595","2","1.585","82.25K","2.91%"
2018-12-10 00:00:00.000,"51.000","52.030","52.810","50.530","733.23K",-3.06%,"4.545","4.59","4.666","4.39","190.05K","1.27%","1.844","1.879","2","1.837","54.10K",-2.23%
2019-10-10 00:00:00.000,"53.550","52.690","53.970","51.380","613.94K","1.83%","2.218","2.239","2.274","2.202","216.64K",-0.72%,"1.921","1.916","2","1.889","71.36K","0.08%"
2019-01-25 00:00:00.000,"53.690","53.170","53.940","52.910","593.39K","1.05%","3.178","3.16","3.207","3.047","52.02K","2.55%","1.892","1.887","2","1.875","17.98K","0.33%"
2019-06-11 00:00:00.000,"53.270","53.430","54.040","52.910","642.94K","0.02%","2.399","2.361","2.406","2.336","163.81K","1.78%","1.822","1.810","2","1.805","55.71K","0.87%"
2019-10-15 00:00:00.000,"52.810","53.510","53.790","52.390","511.25K",-1.46%,"2.339","2.285","2.349","2.266","177.88K","2.59%","1.910","1.912","2","1.889","60.20K",-0.27%
2019-06-20 00:00:00.000,"56.650","54.120","57.020","54.110","27.88K","5.38%","2.185","2.28","2.303","2.159","210.07K",-4.00%,"1.884","1.835","2","1.835","28.93K","3.00%"
2019-11-01 00:00:00.000,"56.200","54.150","56.330","54.070","538.12K","3.73%","2.714","2.637","2.718","2.575","239.45K","3.08%","1.933","1.875","2","1.873","75.46K","2.93%"
2019-02-15 00:00:00.000,"55.590","54.480","55.870","54.240","276.91K","2.17%","2.625","2.572","2.637","2.543","98.41K","2.02%","2.020","1.975","2","1.972","56.94K","2.47%"
2019-10-14 00:00:00.000,"53.590","54.900","54.900","52.770","467.64K",-2.03%,"2.28","2.238","2.313","2.228","171.69K","2.98%","1.915","1.963","2","1.904","66.20K",-2.17%
2019-10-31 00:00:00.000,"54.180","54.900","55.590","53.710","677.42K",-1.60%,"2.633","2.686","2.738","2.606","222.32K",-2.16%,"1.878","1.915","2","1.869","5.15K",-1.86%
2019-08-15 00:00:00.000,"54.470","54.900","55.330","53.770","527.87K",-1.38%,"2.232","2.159","2.267","2.138","206.77K","4.15%","1.811","1.837","2","1.803","53.04K",-1.79%
2019-02-04 00:00:00.000,"54.560","55.320","55.750","53.290","622.47K",-1.27%,"2.66","2.705","2.733","2.655","116.49K",-2.71%,"1.907","1.918","2","1.882","59.99K",-0.28%
2019-12-02 00:00:00.000,"55.960","55.470","56.670","55.420","616.42K","1.43%","2.329","2.315","2.369","2.289","219.04K","2.10%","1.886","1.882","2","1.882","70.12K","0.38%"
2019-07-19 00:00:00.000,"55.630","55.720","56.360","54.990","105.22K","0.60%","2.251","2.29","2.3","2.242","109.06K",-1.57%,"1.890","1.886","2","1.873","37.27K","1.46%"
2019-08-22 00:00:00.000,"55.350","55.940","56.460","54.850","621.57K",-0.59%,"2.159","2.169","2.195","2.145","113.11K",-0.51%,"1.841","1.857","2","1.833","29.59K",-0.86%
2019-09-05 00:00:00.000,"56.300","55.950","57.760","55.750","712.47K","0.07%","2.435","2.442","2.468","2.388","229.80K",-0.41%,"1.889","1.880","2","1.875","63.71K","0.44%"
2019-12-03 00:00:00.000,"56.100","55.960","56.800","55.350","560.55K","0.25%","2.441","2.345","2.51","2.34","307.31K","4.81%","1.880","1.887","2","1.869","59.05K",-0.32%
2021-02-04 00:00:00.000,"56.230","55.960","56.580","55.300","381.40K","0.97%","2.935","2.776","2.977","2.734","186.93K","5.23%","1.701","1.695","2","1.673","50.56K","0.59%"
2018-11-15 00:00:00.000,"56.460","56.020","57.260","55.590","256.50K","0.37%","4.038","4.672","4.8","3.882","362.51K",-16.52%,"2.074","2.095","2","2.069","61.43K",-1.04%
2019-11-07 00:00:00.000,"57.150","56.350","57.880","56.270","678.17K","1.42%","2.772","2.823","2.882","2.753","301.60K",-1.98%,"1.920","1.931","2","1.912","69.10K",-0.39%
2019-11-20 00:00:00.000,"57.110","55.160","57.250","54.760","31.92K","3.44%","2.559","2.514","2.581","2.505","146.06K","1.95%","1.892","1.856","2","1.847","35.84K","1.87%"
2019-08-28 00:00:00.000,"55.780","55.710","56.750","55.340","674.05K","1.55%","2.251","2.201","2.277","2.195","8.66K","2.23%","1.851","1.832","2","1.825","16.89K","1.93%"
2019-10-29 00:00:00.000,"55.540","55.800","55.910","54.610","521.46K",-0.48%,"2.597","2.459","2.64","2.449","8.45K","6.17%","1.956","1.962","2","1.928","18.95K",-0.28%
2019-03-04 00:00:00.000,"56.590","55.830","57.000","55.810","549.40K","1.42%","2.857","2.845","2.888","2.821","103.66K",-0.07%,"2.014","2.000","2","1.998","56.05K","0.66%"
2019-08-29 00:00:00.000,"56.710","55.880","56.890","55.430","630.76K","1.67%","2.296","2.235","2.31","2.218","200.41K","2.00%","1.864","1.854","2","1.845","16.02K","0.70%"
2019-02-20 00:00:00.000,"56.920","55.940","57.550","55.480","37.68K","1.48%","2.636","2.66","2.689","2.631","110.14K",-0.98%,"2.018","1.998","2","1.979","27.76K","1.19%"
2019-09-06 00:00:00.000,"56.520","56.190","56.950","54.830","714.29K","0.39%","2.496","2.435","2.505","2.403","201.59K","2.51%","1.900","1.887","2","1.844","50.03K","0.62%"
2019-03-08 00:00:00.000,"56.070","56.430","56.510","54.520","747.36K",-1.04%,"2.865","2.865","2.895","2.856","85.88K",-0.03%,"2.000","2.006","2","1.945","84.70K",-0.64%
2018-11-19 00:00:00.000,"56.760","56.720","57.330","55.080","33.58K","0.53%","4.7","4.625","4.779","4.427","264.57K","10.02%","2.086","2.079","2","2.053","48.10K","0.61%"
2019-11-12 00:00:00.000,"56.800","56.890","57.550","56.540","586.57K",-0.11%,"2.621","2.637","2.685","2.607","199.64K",-0.61%,"1.898","1.915","2","1.892","70.34K",-0.87%
2019-02-28 00:00:00.000,"57.220","57.000","57.430","56.430","496.68K","0.49%","2.812","2.808","2.843","2.787","118.34K","0.46%","2.024","2.025","2","2.009","8.85K","0.09%"
2019-07-24 00:00:00.000,"55.880","57.230","57.640","55.330","745.25K",-1.57%,"2.22","2.29","2.297","2.212","116.59K",-3.48%,"1.909","1.925","2","1.892","25.40K",-0.68%
2021-03-24 00:00:00.000,"61.180","57.400","61.340","57.290","566.29K","5.92%","2.518","2.515","2.545","2.503","48.42K","0.40%","1.826","1.734","2","1.733","23.15K","4.39%"
2019-06-24 00:00:00.000,"57.900","57.720","58.220","56.750","597.16K","0.82%","2.303","2.197","2.316","2.195","67.65K","5.35%","1.909","1.927","2","1.890","25.57K",-0.36%
2019-06-25 00:00:00.000,"57.830","57.740","58.840","57.200","673.14K",-0.12%,"2.308","2.303","2.315","2.255","55.01K","0.22%","1.923","1.906","2","1.892","23.18K","0.76%"
2019-11-26 00:00:00.000,"58.410","57.920","58.560","57.760","443.82K","0.69%","2.47","2.52","2.532","2.421","12.00K",-2.41%,"1.961","1.944","2","1.940","23.13K","0.84%"
2021-02-12 00:00:00.000,"59.470","57.940","59.820","57.410","480.82K","2.11%","2.912","2.87","2.987","2.834","190.05K","1.53%","1.771","1.742","2","1.724","66.42K","1.54%"
2020-04-22 00:00:00.000,"13.780","13.120","16.180","10.260","1.24M","37.66%","1.939","1.836","1.952","1.774","162.99K","6.48%","0.731","0.767","1","0.673","32.35K","0.58%"
2020-04-29 00:00:00.000,"15.060","13.350","16.780","12.670","554.13K","22.04%","1.869","1.949","1.973","1.86","159.45K","4.18%","0.695","0.633","1","0.629","13.04K","10.10%"
2020-04-30 00:00:00.000,"18.840","15.640","19.440","15.450","545.34K","25.10%","1.949","1.878","1.953","1.825","169.44K","4.28%","0.732","0.743","1","0.721","4.51K","5.39%"
2020-03-25 00:00:00.000,"24.490","24.370","25.240","22.910","618.73K","2.00%","1.659","1.673","1.716","1.638","42.56K","0.36%","1.098","1.087","1","1.054","17.14K","1.62%"
2020-04-13 00:00:00.000,"22.410","24.600","24.740","22.030","775.12K",-1.54%,"1.724","1.752","1.813","1.698","196.13K",-0.52%,"0.995","1.018","1","0.940","49.61K","2.26%"
2020-03-20 00:00:00.000,"22.430","24.730","27.890","19.460","29.76K",-11.06%,"1.604","1.647","1.7","1.574","160.48K",-3.02%,"1.006","1.041","1","1.001","27.73K",-3.40%
2020-03-17 00:00:00.000,"26.950","28.690","30.300","26.630","545.82K",-6.10%,"1.729","1.797","1.82","1.711","163.79K",-4.74%,"1.036","1.040","1","1.031","53.84K",-1.04%
2020-03-12 00:00:00.000,"31.500","33.070","33.630","30.020","1.03M",-4.49%,"1.841","1.883","1.883","1.75","280.15K",-1.97%,"1.160","1.243","1","1.120","102.09K",-6.32%
2020-05-22 00:00:00.000,"33.250","33.950","34.000","30.720","429.04K",-1.98%,"1.731","1.726","1.76","1.68","53.71K","1.23%","0.982","0.987","1","0.934","25.21K",-0.71%
2020-11-02 00:00:00.000,"36.810","35.240","37.150","33.640","489.20K","2.85%","3.244","3.374","3.393","3.214","156.21K",-3.28%,"1.112","1.074","1","1.025","70.78K","2.87%"
2020-06-02 00:00:00.000,"36.810","35.560","37.060","35.280","343.48K","3.87%","1.777","1.78","1.801","1.758","142.96K","0.17%","1.092","1.035","1","1.034","53.02K","6.13%"
2020-06-03 00:00:00.000,"37.290","36.860","38.180","35.880","494.25K","1.30%","1.821","1.774","1.861","1.771","200.60K","2.48%","1.065","1.089","1","1.046","55.34K",-2.52%
